OI,link_2020,link_2021,link_2022,link_2023,link_2024,ref
DENW34AL0002vMWW,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=392&height=1631&bbox=325233.325%2C5719314.434%2C325240.516%2C5719344.31&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=392&height=1631&bbox=325233.325%2C5719314.434%2C325240.516%2C5719344.31&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=392&height=1631&bbox=325233.325%2C5719314.434%2C325240.516%2C5719344.31&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=392&height=1631&bbox=325233.325%2C5719314.434%2C325240.516%2C5719344.31&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=392&height=1631&bbox=325233.325%2C5719314.434%2C325240.516%2C5719344.31&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,2.4318695068359375e-05
DENW12AL000045hp,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=746&height=858&bbox=398102.865%2C5698186.703%2C398110.942%2C5698195.995&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=746&height=858&bbox=398102.865%2C5698186.703%2C398110.942%2C5698195.995&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=746&height=858&bbox=398102.865%2C5698186.703%2C398110.942%2C5698195.995&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=746&height=858&bbox=398102.865%2C5698186.703%2C398110.942%2C5698195.995&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=746&height=858&bbox=398102.865%2C5698186.703%2C398110.942%2C5698195.995&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,2.5093555450439453e-05
DENW12AL0000fFow,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=683&height=938&bbox=395130.45%2C5719423.361%2C395162.548%2C5719467.452&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=683&height=938&bbox=395130.45%2C5719423.361%2C395162.548%2C5719467.452&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=683&height=938&bbox=395130.45%2C5719423.361%2C395162.548%2C5719467.452&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=683&height=938&bbox=395130.45%2C5719423.361%2C395162.548%2C5719467.452&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=683&height=938&bbox=395130.45%2C5719423.361%2C395162.548%2C5719467.452&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,2.6226043701171875e-05
DENW34AL0000l30Z,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=811&height=789&bbox=327906.559%2C5708048.692%2C327919.503%2C5708061.275&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=811&height=789&bbox=327906.559%2C5708048.692%2C327919.503%2C5708061.275&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=811&height=789&bbox=327906.559%2C5708048.692%2C327919.503%2C5708061.275&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=811&height=789&bbox=327906.559%2C5708048.692%2C327919.503%2C5708061.275&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=811&height=789&bbox=327906.559%2C5708048.692%2C327919.503%2C5708061.275&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,2.6553869247436523e-05
DENW02AL1000HlSG,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=1095&height=585&bbox=391762.225%2C5703857.717%2C391767.238%2C5703860.394&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=1095&height=585&bbox=391762.225%2C5703857.717%2C391767.238%2C5703860.394&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=1095&height=585&bbox=391762.225%2C5703857.717%2C391767.238%2C5703860.394&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=1095&height=585&bbox=391762.225%2C5703857.717%2C391767.238%2C5703860.394&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=1095&height=585&bbox=391762.225%2C5703857.717%2C391767.238%2C5703860.394&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,2.7447938919067383e-05
DENW03AL0003vh6I,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=881&height=726&bbox=395376.936%2C5690965.941%2C395383.048%2C5690970.981&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=881&height=726&bbox=395376.936%2C5690965.941%2C395383.048%2C5690970.981&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=881&height=726&bbox=395376.936%2C5690965.941%2C395383.048%2C5690970.981&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=881&height=726&bbox=395376.936%2C5690965.941%2C395383.048%2C5690970.981&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=881&height=726&bbox=395376.936%2C5690965.941%2C395383.048%2C5690970.981&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,2.777576446533203e-05
DENW34AL0000KsnK,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=913&height=701&bbox=330646.552%2C5714763.874%2C330659.791%2C5714774.049&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=913&height=701&bbox=330646.552%2C5714763.874%2C330659.791%2C5714774.049&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=913&height=701&bbox=330646.552%2C5714763.874%2C330659.791%2C5714774.049&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=913&height=701&bbox=330646.552%2C5714763.874%2C330659.791%2C5714774.049&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=913&height=701&bbox=330646.552%2C5714763.874%2C330659.791%2C5714774.049&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,2.777576446533203e-05
DENW52AL00gqBbfG,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=691&height=926&bbox=372535.129%2C5717738.517%2C372540.972%2C5717746.351&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=691&height=926&bbox=372535.129%2C5717738.517%2C372540.972%2C5717746.351&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=691&height=926&bbox=372535.129%2C5717738.517%2C372540.972%2C5717746.351&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=691&height=926&bbox=372535.129%2C5717738.517%2C372540.972%2C5717746.351&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=691&height=926&bbox=372535.129%2C5717738.517%2C372540.972%2C5717746.351&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,2.905726432800293e-05
DENW01AL1000I8M6,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=960&height=667&bbox=376549.846%2C5699611.671%2C376559.033%2C5699618.05&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=960&height=667&bbox=376549.846%2C5699611.671%2C376559.033%2C5699618.05&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=960&height=667&bbox=376549.846%2C5699611.671%2C376559.033%2C5699618.05&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=960&height=667&bbox=376549.846%2C5699611.671%2C376559.033%2C5699618.05&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=960&height=667&bbox=376549.846%2C5699611.671%2C376559.033%2C5699618.05&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,3.701448440551758e-05
DENW01AL10002L2W,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=916&height=698&bbox=380694.096%2C5708691.218%2C380714.996%2C5708707.149&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=916&height=698&bbox=380694.096%2C5708691.218%2C380714.996%2C5708707.149&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=916&height=698&bbox=380694.096%2C5708691.218%2C380714.996%2C5708707.149&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=916&height=698&bbox=380694.096%2C5708691.218%2C380714.996%2C5708707.149&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=916&height=698&bbox=380694.096%2C5708691.218%2C380714.996%2C5708707.149&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,3.933906555175781e-05
