oi,year_1,year_2,label,hat_solar,dach_erkennbar,haus_im_bau,dach_gereinigt,link_1,link_2,geom
DENW04AL1000Ca4n,2023,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=766&height=836&bbox=420349.137%2C5722776.404%2C420355.486%2C5722783.336&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=766&height=836&bbox=420349.137%2C5722776.404%2C420355.486%2C5722783.336&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420349.137 5722778.325, 420353.02 5722783.336, 420355.486 5722781.416, 420351.596 5722776.404, 420349.137 5722778.325))"
DENW04AL1000Ca5x,2023,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=797&height=803&bbox=421030.952%2C5721077.579%2C421039.503%2C5721086.198&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=797&height=803&bbox=421030.952%2C5721077.579%2C421039.503%2C5721086.198&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((421030.952 5721083.262, 421033.747 5721086.198, 421037.751 5721082.255, 421039.503 5721080.529, 421036.755 5721077.579, 421030.952 5721083.262))"
DENW04AL1000Ca7O,2021,2023,0,false,false,false,false,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=494&height=1296&bbox=420519.22%2C5720848.262%2C420522.37%2C5720856.523&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=494&height=1296&bbox=420519.22%2C5720848.262%2C420522.37%2C5720856.523&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,"POLYGON ((420519.22 5720856.457, 420522.176 5720856.523, 420522.37 5720848.34, 420519.403 5720848.262, 420519.22 5720856.457))"
DENW04AL1000Ca9H,2021,2024,0,true,true,false,false,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=802&height=798&bbox=420909.056%2C5723127.691%2C420919.631%2C5723138.207&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=802&height=798&bbox=420909.056%2C5723127.691%2C420919.631%2C5723138.207&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420909.056 5723131.996, 420909.814 5723132.913, 420909.962 5723132.811, 420913.664 5723138.207, 420915.503 5723136.948, 420915.464 5723136.891, 420919.388 5723134.206, 420919.427 5723134.263, 420919.631 5723134.123, 420915.256 5723127.691, 420909.056 5723131.996))"
DENW04AL1000Ca9s,2023,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=721&height=888&bbox=420455.355%2C5721063.263%2C420462.03%2C5721071.491&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=721&height=888&bbox=420455.355%2C5721063.263%2C420462.03%2C5721071.491&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420455.355 5721069.894, 420458.053 5721071.491, 420462.03 5721064.867, 420459.331 5721063.263, 420455.355 5721069.894))"
DENW04AL1000CaAa,2020,2024,1,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=844&height=759&bbox=420220.126%2C5723332.851%2C420229.949%2C5723341.686&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=844&height=759&bbox=420220.126%2C5723332.851%2C420229.949%2C5723341.686&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420220.126 5723337.204, 420222.854 5723341.686, 420229.949 5723337.358, 420227.209 5723332.851, 420220.126 5723337.204))"
DENW04AL1000CaB6,2023,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=759&height=843&bbox=420126.727%2C5721815.237%2C420137.091%2C5721826.753&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=759&height=843&bbox=420126.727%2C5721815.237%2C420137.091%2C5721826.753&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420126.727 5721822.376, 420132.037 5721826.753, 420137.091 5721820.757, 420132.691 5721815.237, 420126.727 5721822.376))"
DENW04AL1000FFvP,2022,2024,0,false,false,false,false,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=867&height=738&bbox=420001.132%2C5723563.928%2C420008.732%2C5723570.403&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=867&height=738&bbox=420001.132%2C5723563.928%2C420008.732%2C5723570.403&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420001.132 5723566.776, 420001.959 5723567.794, 420004.077 5723570.403, 420008.732 5723566.639, 420006.916 5723564.39, 420006.543 5723563.928, 420003.093 5723566.727, 420002.335 5723565.801, 420001.132 5723566.776))"
DENW04AL1000Gvhr,2023,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=687&height=931&bbox=420999.761%2C5724764.528%2C421005.459%2C5724772.247&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=687&height=931&bbox=420999.761%2C5724764.528%2C421005.459%2C5724772.247&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420999.761 5724765.641, 421002.164 5724772.247, 421005.459 5724771.121, 421003.075 5724764.528, 420999.761 5724765.641))"
DENW04AL1000Gvi3,2020,2024,0,false,false,false,false,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=658&height=973&bbox=420565.758%2C5724940.619%2C420569.906%2C5724946.756&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=658&height=973&bbox=420565.758%2C5724940.619%2C420569.906%2C5724946.756&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420565.758 5724946.109, 420568.245 5724946.659, 420568.684 5724946.756, 420569.906 5724941.269, 420569.448 5724941.168, 420566.968 5724940.619, 420565.758 5724946.109))"
DENW04AL1000Gvjr,2021,2023,0,false,false,false,false,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=577&height=1109&bbox=420787.708%2C5724758.814%2C420793.142%2C5724769.248&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=577&height=1109&bbox=420787.708%2C5724758.814%2C420793.142%2C5724769.248&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,"POLYGON ((420787.708 5724768.502, 420790.603 5724769.248, 420793.142 5724759.575, 420790.227 5724758.814, 420789.399 5724762.002, 420787.708 5724768.502))"
DENW04AL1000Gvy3,2021,2023,1,false,true,false,false,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=706&height=907&bbox=420359.046%2C5724850.453%2C420374.585%2C5724870.433&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=706&height=907&bbox=420359.046%2C5724850.453%2C420374.585%2C5724870.433&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,"POLYGON ((420359.046 5724853.888, 420364.349 5724870.433, 420374.585 5724867.086, 420374.473 5724866.739, 420369.287 5724850.453, 420367.25 5724851.128, 420359.046 5724853.888))"
DENW04AL1000Gw9c,2023,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=1181&height=542&bbox=420816.726%2C5724966.543%2C420831.084%2C5724973.136&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=1181&height=542&bbox=420816.726%2C5724966.543%2C420831.084%2C5724973.136&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420816.726 5724967.081, 420816.895 5724971.541, 420816.956 5724973.136, 420831.084 5724972.599, 420830.855 5724966.543, 420816.726 5724967.081))"
DENW04AL1000GwUv,2023,2024,0,false,false,false,false,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=725&height=883&bbox=420330.486%2C5724458.114%2C420339.287%2C5724468.841&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=725&height=883&bbox=420330.486%2C5724458.114%2C420339.287%2C5724468.841&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420330.486 5724460.121, 420333.843 5724468.841, 420339.287 5724466.981, 420335.804 5724458.114, 420330.486 5724460.121))"
DENW04AL1000GwVJ,2021,2023,0,true,true,false,false,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=991&height=646&bbox=420598.058%2C5724806.87%2C420604.573%2C5724811.118&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=991&height=646&bbox=420598.058%2C5724806.87%2C420604.573%2C5724811.118&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,"POLYGON ((420598.058 5724809.808, 420601.477 5724810.571, 420603.93 5724811.118, 420604.573 5724808.178, 420598.709 5724806.87, 420598.058 5724809.808))"
DENW04AL1000Gwhv,2023,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=1043&height=613&bbox=420742.566%2C5724906.255%2C420755.286%2C5724913.734&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=1043&height=613&bbox=420742.566%2C5724906.255%2C420755.286%2C5724913.734&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420742.566 5724911.77, 420754.361 5724913.734, 420755.286 5724908.207, 420743.473 5724906.255, 420742.566 5724911.77))"
DENW04AL1000Gwkm,2023,2024,0,true,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=703&height=910&bbox=420199.689%2C5724925.226%2C420212.018%2C5724941.191&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=703&height=910&bbox=420199.689%2C5724925.226%2C420212.018%2C5724941.191&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420199.689 5724928.015, 420206.917 5724941.191, 420212.018 5724938.444, 420204.806 5724925.226, 420199.689 5724928.015))"
DENW04AL1000Gwli,2023,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=800&height=800&bbox=420699.874%2C5724825.678%2C420705.421%2C5724831.222&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=800&height=800&bbox=420699.874%2C5724825.678%2C420705.421%2C5724831.222&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420699.874 5724829.074, 420703.985 5724831.222, 420704.11 5724831.012, 420705.421 5724826.015, 420705.392 5724825.678, 420701.47 5724826.056, 420699.874 5724829.074))"
DENW04AL1000Gwxj,2020,2023,1,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=806&height=794&bbox=420365.789%2C5724871.3%2C420378.423%2C5724883.737&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=806&height=794&bbox=420365.789%2C5724871.3%2C420378.423%2C5724883.737&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,"POLYGON ((420365.789 5724875.074, 420368.518 5724883.737, 420378.423 5724880.32, 420376.268 5724872.91, 420375.703 5724871.3, 420370.38 5724873.016, 420370.602 5724873.582, 420365.789 5724875.074))"
DENW04AL1000GwyV,2021,2024,1,false,true,false,false,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=1032&height=620&bbox=420615.482%2C5724882.083%2C420626.82%2C5724888.902&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=1032&height=620&bbox=420615.482%2C5724882.083%2C420626.82%2C5724888.902&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420615.482 5724886.58, 420625.378 5724888.831, 420625.691 5724888.902, 420626.82 5724883.151, 420622.498 5724882.083, 420618.678 5724883.307, 420618.479 5724884.22, 420616.041 5724883.678, 420615.482 5724886.58))"
DENW04AL1000Gx0m,2023,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=930&height=688&bbox=420755.073%2C5724879.39%2C420765.024%2C5724886.752&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=930&height=688&bbox=420755.073%2C5724879.39%2C420765.024%2C5724886.752&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((420755.073 5724885.264, 420761.884 5724886.378, 420764.167 5724886.752, 420765.024 5724880.92, 420761.837 5724880.404, 420755.569 5724879.39, 420755.498 5724879.824, 420755.952 5724879.898, 420755.073 5724885.264))"
DENW04AL1000Jbae,2022,2024,1,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=765&height=836&bbox=421588.786%2C5724973.363%2C421595.853%2C5724981.084&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=765&height=836&bbox=421588.786%2C5724973.363%2C421595.853%2C5724981.084&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((421588.786 5724979.253, 421591.031 5724981.084, 421595.853 5724975.197, 421593.61 5724973.363, 421588.786 5724979.253))"
DENW04AL1000Jbph,2020,2022,0,false,true,false,true,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=549&height=1166&bbox=422528.51%2C5724903.396%2C422533.758%2C5724914.553&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=549&height=1166&bbox=422528.51%2C5724903.396%2C422533.758%2C5724914.553&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,"POLYGON ((422528.51 5724913.903, 422530.744 5724914.553, 422533.678 5724904.33, 422533.758 5724904.049, 422531.407 5724903.396, 422528.51 5724913.903))"
DENW04AL1000Jc35,2023,2024,0,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2023?language=ger&width=1019&height=628&bbox=422332.003%2C5724880.075%2C422344.416%2C5724887.726&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2023,https://geodaten.metropoleruhr.de/dop/top_2024?language=ger&width=1019&height=628&bbox=422332.003%2C5724880.075%2C422344.416%2C5724887.726&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2024,"POLYGON ((422332.003 5724882.088, 422332.991 5724887.726, 422344.416 5724885.722, 422343.424 5724880.075, 422332.003 5724882.088))"
DENW04AL1000JcJE,2020,2021,1,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=875&height=731&bbox=423649.404%2C5724908.7%2C423659.531%2C5724917.159&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/dop_2021?language=ger&width=875&height=731&bbox=423649.404%2C5724908.7%2C423659.531%2C5724917.159&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=dop_2021,"POLYGON ((423649.404 5724911.265, 423651.156 5724917.159, 423659.288 5724914.667, 423659.531 5724914.602, 423657.776 5724908.7, 423649.404 5724911.265))"
DENW04AL1000JcKZ,2020,2022,1,false,true,false,false,https://geodaten.metropoleruhr.de/dop/top_2020?language=ger&width=1004&height=637&bbox=423518.283%2C5724541.641%2C423537.954%2C5724554.125&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2020,https://geodaten.metropoleruhr.de/dop/top_2022?language=ger&width=1004&height=637&bbox=423518.283%2C5724541.641%2C423537.954%2C5724554.125&crs=EPSG%3A25832&format=image%2Fpng&request=GetMap&service=WMS&styles=&transparent=true&version=1.3.0&layers=top_2022,"POLYGON ((423518.283 5724546.184, 423519.931 5724552.575, 423520.33 5724554.125, 423537.954 5724549.582, 423535.907 5724541.641, 423518.283 5724546.184))"
